"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"Townhouse",1997,"0.01 Acres",3,2,"1,150","$257,873","https://www.zillow.com/homedetails/325-E-Mill-St-9-Bountiful-UT-84010/68447037_zpid/"
"Townhouse",2001,"0.10 Acres",2,3,"1,232","$399,000","https://www.zillow.com/homedetails/1674-S-Aliwood-Way-Bountiful-UT-84010/2074044157_zpid/"
"SingleFamily",1961,"0.24 Acres",4,2,"1,720","$399,098","https://www.zillow.com/homedetails/1028-E-900-N-Bountiful-UT-84010/12668284_zpid/"
"Condo",1997,NA,3,2,"1,150","$257,873","https://www.zillow.com/homedetails/325-E-Mill-St-10-Bountiful-UT-84010/68447038_zpid/"
NA,NA,NA,2,3,"1,232","$267,504","https://www.zillow.com/homedetails/1653-N-Aliwood-Way-16-Bountiful-UT-84010/2075770520_zpid/"
"SingleFamily",1999,"0.31 Acres",3,2,"1,773","$221,652","https://www.zillow.com/homedetails/219-E-Saddlehorn-Dr-Bountiful-AZ-84010/7451823_zpid/"
"Condo",NA,NA,1,1,"1,050","$204,985","https://www.zillow.com/homedetails/3051-Orchard-Dr-APT-7-Bountiful-UT-84010/2101720121_zpid/"
"Townhouse",1984,"0.01 Acres",2,2,"1,011","$234,507","https://www.zillow.com/homedetails/650-S-Main-St-APT-7108-Bountiful-UT-84010/12667244_zpid/"
"SingleFamily",1992,"0.25 Acres",5,4,"2,879","$480,477","https://www.zillow.com/homedetails/3795-S-400-E-Bountiful-UT-84010/12659802_zpid/"
"Townhouse",1986,"435 sqft",2,3,"2,412","$360,749","https://www.zillow.com/homedetails/256-W-925-N-Bountiful-UT-84010/12667410_zpid/"
"SingleFamily",1961,"0.20 Acres",5,3,"2,229","$454,610","https://www.zillow.com/homedetails/242-E-1950-S-Bountiful-UT-84010/12671373_zpid/"
"SingleFamily",1986,"0.29 Acres",5,3,"3,637",NA,"https://www.zillow.com/homedetails/261-E-Shari-Cir-N-Bountiful-UT-84010/2076595198_zpid/"
"SingleFamily",1962,"0.24 Acres",6,2,"2,200","$409,224","https://www.zillow.com/homedetails/295-W-800-S-Bountiful-UT-84010/12666311_zpid/"
"SingleFamily",1959,"0.24 Acres",4,3,"2,247",NA,"https://www.zillow.com/homedetails/68-W-3600-S-Bountiful-UT-84010/12657794_zpid/"
"MultiFamily",1950,NA,4,2,"2,196","$456,623","https://www.zillow.com/homedetails/4092-S-Orchard-Dr-North-Salt-Lake-UT-84054/111039213_zpid/"
"MultiFamily",1983,NA,3,2,"1,635","$308,374","https://www.zillow.com/homedetails/188-E-2050-S-APT-A4-Bountiful-UT-84010/12673722_zpid/"
"SingleFamily",1963,"0.25 Acres",5,4,"2,958","$501,415","https://www.zillow.com/homedetails/848-E-750-N-Bountiful-UT-84010/12668188_zpid/"
"SingleFamily",1962,"0.28 Acres",6,2,"3,628","$700,516","https://www.zillow.com/homedetails/935-E-Millbrook-Way-Bountiful-UT-84010/12670317_zpid/"
"SingleFamily",2004,"0.28 Acres",6,4,"4,677","$759,603","https://www.zillow.com/homedetails/4563-Spring-Meadow-Dr-Bountiful-UT-84010/68443313_zpid/"
"SingleFamily",1945,"10,018 sqft",4,3,"2,494","$362,981","https://www.zillow.com/homedetails/165-E-200-S-Bountiful-UT-84010/12664931_zpid/"
"SingleFamily",1992,"1.33 Acres",6,8,"5,630",NA,"https://www.zillow.com/homedetails/1257-E-Sunrise-Pl-S-Bountiful-UT-84010/2076597589_zpid/"
"SingleFamily",1958,"0.20 Acres",4,3,"2,550","$503,515","https://www.zillow.com/homedetails/1905-Spring-Creek-Dr-Bountiful-UT-84010/12672055_zpid/"
