"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"SingleFamily",1961,"0.28 Acres",5,4,"2,250","$423,434","https://www.zillow.com/homedetails/468-E-500-S-Bountiful-UT-84010/12669610_zpid/"
"Townhouse",NA,"No Data",3,2,"1,581","$400,655","https://www.zillow.com/homedetails/620-Orchard-53-North-Salt-Lake-UT-84054/2078613848_zpid/"
"SingleFamily",1984,"0.27 Acres",1,3,"3,779","$515,930","https://www.zillow.com/homedetails/910-E-350-N-Bountiful-UT-84010/12668449_zpid/"
"SingleFamily",1960,"6,969 sqft",4,2,"2,200","$400,085","https://www.zillow.com/homedetails/867-W-4000-S-Bountiful-UT-84010/12658822_zpid/"
"SingleFamily",1965,"8,058 sqft",6,4,"3,956","$575,246","https://www.zillow.com/homedetails/1898-S-900-E-Bountiful-UT-84010/12672499_zpid/"
"SingleFamily",1954,"9,583 sqft",4,2,"1,004","$421,384","https://www.zillow.com/homedetails/639-W-3500-S-Bountiful-UT-84010/12658626_zpid/"
"SingleFamily",1960,"0.26 Acres",5,3,"2,350","$453,660","https://www.zillow.com/homedetails/786-N-600-E-Bountiful-UT-84010/12668095_zpid/"
"SingleFamily",1960,"0.31 Acres",4,2,"2,030","$448,139","https://www.zillow.com/homedetails/496-Edgehill-Dr-Bountiful-UT-84010/12672906_zpid/"
NA,NA,NA,3,2,"2,529","$442,884","https://www.zillow.com/homedetails/3534-S-50-W-Bountiful-UT-84010/12657792_zpid/"
"Condo",1985,NA,4,3,"2,084","$333,625","https://www.zillow.com/homedetails/829-N-250-W-402-Bountiful-UT-84010/12667404_zpid/"
"SingleFamily",1963,"0.44 Acres",4,3,"3,550","$613,409","https://www.zillow.com/homedetails/852-E-Millbrook-Way-Bountiful-UT-84010/12670085_zpid/"
"SingleFamily",1962,"10,018 sqft",4,1,"3,082","$472,219","https://www.zillow.com/homedetails/899-S-800-E-Bountiful-UT-84010/12669693_zpid/"
"SingleFamily",2000,"0.29 Acres",5,3,"3,800",NA,"https://www.zillow.com/homedetails/4602-S-Sunset-Way-Bountiful-UT-84010/2072296976_zpid/"
"SingleFamily",1998,"0.50 Acres",5,4,"3,903","$714,336","https://www.zillow.com/homedetails/3901-S-Glade-Hollow-Way-Bountiful-UT-84010/68429078_zpid/"
"SingleFamily",1960,"7,840 sqft",4,2,"1,936","$387,106","https://www.zillow.com/homedetails/416-W-850-S-Bountiful-UT-84010/12666346_zpid/"
"SingleFamily",1998,"0.28 Acres",3,2,"2,381","$481,864","https://www.zillow.com/homedetails/91-W-1350-N-Bountiful-UT-84010/68430084_zpid/"
"Condo",1965,NA,2,2,"1,368","$227,947","https://www.zillow.com/homedetails/399-W-400-N-APT-48-Bountiful-UT-84010/12666033_zpid/"
"SingleFamily",1945,"0.47 Acres",7,3,"3,888","$484,786","https://www.zillow.com/homedetails/301-E-Center-St-Bountiful-UT-84010/249068897_zpid/"
"SingleFamily",1987,"0.35 Acres",5,4,"4,403","$662,004","https://www.zillow.com/homedetails/359-N-1225-E-Bountiful-UT-84010/12670521_zpid/"
"MultiFamily",1957,NA,6,4,"3,651","$776,929","https://www.zillow.com/homedetails/107-E-400-S-Bountiful-UT-84010/12665116_zpid/"
"MultiFamily",1957,NA,6,4,"3,778","$438,764","https://www.zillow.com/homedetails/107-E-111-E-400-S-Bountiful-UT-84010/2100984526_zpid/"
"VacantLand",0,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/1679-Ridge-Point-Dr-304-Bountiful-UT-84010/2072653585_zpid/"
"SingleFamily",1972,"0.28 Acres",4,3,"2,193","$465,089","https://www.zillow.com/homedetails/16-W-2750-S-Bountiful-UT-84010/12670994_zpid/"
"SingleFamily",1952,"10,018 sqft",3,1,"1,253","$348,963","https://www.zillow.com/homedetails/92-E-3000-S-Bountiful-UT-84010/12671771_zpid/"
"SingleFamily",1948,"0.21 Acres",4,2,"2,156","$429,466","https://www.zillow.com/homedetails/522-E-100-S-Bountiful-UT-84010/12668658_zpid/"
"SingleFamily",1959,"8,712 sqft",4,2,"2,000","$425,656","https://www.zillow.com/homedetails/813-N-650-E-Bountiful-UT-84010/12668103_zpid/"
"SingleFamily",1986,"0.43 Acres",3,2,"2,310","$505,028","https://www.zillow.com/homedetails/422-Canyon-Estates-Cir-Bountiful-UT-84010/12657761_zpid/"
"SingleFamily",1971,"0.45 Acres",5,3,"4,062","$675,540","https://www.zillow.com/homedetails/1314-E-Millbrook-Way-Bountiful-UT-84010/12669226_zpid/"
"SingleFamily",1957,"0.25 Acres",4,2,"1,763","$466,853","https://www.zillow.com/homedetails/921-E-900-N-Bountiful-UT-84010/12668276_zpid/"
NA,NA,NA,1,1,"1,050","$204,397","https://www.zillow.com/homedetails/3051-S-Orchard-Dr-W-7-Bountiful-UT-84010/2077032372_zpid/"
"SingleFamily",1960,"0.29 Acres",3,1,"2,484","$336,598","https://www.zillow.com/homedetails/3082-S-200-E-Bountiful-UT-84010/12671938_zpid/"
"SingleFamily",1991,"0.28 Acres",6,4,"3,886",NA,"https://www.zillow.com/homedetails/3529-S-Huntington-Dr-E-Bountiful-UT-84010/2072621463_zpid/"
"SingleFamily",1954,"0.24 Acres",4,2,"1,801","$416,519","https://www.zillow.com/homedetails/98-E-Wicker-Ln-Bountiful-UT-84010/12671132_zpid/"
NA,NA,NA,5,3,"3,046","$576,175","https://www.zillow.com/homedetails/1433-E-Seville-Way-Bountiful-UT-84010/2092222711_zpid/"
"SingleFamily",1959,"7,840 sqft",5,2,"2,408","$432,060","https://www.zillow.com/homedetails/58-W-900-S-Bountiful-UT-84010/12666474_zpid/"
NA,NA,NA,4,2,"1,375","$334,782","https://www.zillow.com/homedetails/352-N-350-W-Bountiful-UT-84010/12666067_zpid/"
"Townhouse",1975,"0.01 Acres",3,4,"2,440","$294,745","https://www.zillow.com/homedetails/1950-S-200-W-APT-26-Bountiful-UT-84010/2082172273_zpid/"
"SingleFamily",1994,"0.60 Acres",5,2,"3,400","$572,457","https://www.zillow.com/homedetails/977-Canyon-Creek-Dr-Bountiful-UT-84010/12659594_zpid/"
"SingleFamily",1995,"0.51 Acres",5,4,"5,584",NA,"https://www.zillow.com/homedetails/2585-E-Cave-Hollow-Way-Bountiful-UT-84010/2072639412_zpid/"
"SingleFamily",1995,"0.51 Acres",5,4,"5,400","$952,062","https://www.zillow.com/homedetails/2585-Cave-Hollow-Way-Bountiful-UT-84010/12673282_zpid/"
"SingleFamily",1967,"0.25 Acres",4,3,"2,393","$482,260","https://www.zillow.com/homedetails/902-S-850-E-Bountiful-UT-84010/12669702_zpid/"
"SingleFamily",1959,"8,712 sqft",4,2,"2,268","$463,946","https://www.zillow.com/homedetails/1856-S-Davis-Blvd-Bountiful-UT-84010/12672071_zpid/"
"Townhouse",NA,NA,1,1,"670",NA,"https://www.zillow.com/homedetails/2762-S-300-W-Bountiful-UT-84010/2082254900_zpid/"
"SingleFamily",1955,"7,405 sqft",4,3,"2,100","$349,995","https://www.zillow.com/homedetails/279-W-1550-N-Bountiful-UT-84010/12664006_zpid/"
"SingleFamily",2005,"436 sqft",3,3,"1,910","$347,794","https://www.zillow.com/homedetails/1769-Pages-Pl-Bountiful-UT-84010/68448645_zpid/"
"Townhouse",2005,"0.01 Acres",3,3,"1,910",NA,"https://www.zillow.com/homedetails/1769-N-Pages-Place-Dr-Bountiful-UT-84010/2072648901_zpid/"
"Condo",1972,NA,2,1,"925","$219,248","https://www.zillow.com/homedetails/314-W-Center-St-APT-105-Bountiful-UT-84010/2082240752_zpid/"
"SingleFamily",1959,"7,840 sqft",4,2,"1,800","$394,699","https://www.zillow.com/homedetails/292-E-550-N-Bountiful-UT-84010/12665877_zpid/"
"Townhouse",1983,"0.01 Acres",2,2,"1,340","$293,829","https://www.zillow.com/homedetails/567-Applewood-Dr-Bountiful-UT-84010/2082493774_zpid/"
"SingleFamily",1898,"0.32 Acres",5,5,"6,030","$582,030","https://www.zillow.com/homedetails/267-N-300-E-Bountiful-UT-84010/12664792_zpid/"
"SingleFamily",1953,"8,712 sqft",5,2,"1,729","$405,644","https://www.zillow.com/homedetails/265-W-1050-N-Bountiful-UT-84010/2108599156_zpid/"
"Condo",1975,NA,3,4,"2,334","$338,190","https://www.zillow.com/homedetails/1950-S-West-C-16-200-Bountiful-UT-84010/12671039_zpid/"
"Condo",1971,NA,2,1,"769","$207,480","https://www.zillow.com/homedetails/17-E-400-N-APT-20-Bountiful-UT-84010/2082267651_zpid/"
"Townhouse",2006,"435 sqft",3,2,"1,494","$337,660","https://www.zillow.com/homedetails/1668-N-Pages-Place-Dr-Bountiful-UT-84010/68453325_zpid/"
"Townhouse",1959,"436 sqft",2,1,"1,584","$216,118","https://www.zillow.com/homedetails/399-E-400-N-Bountiful-UT-84010/12665931_zpid/"
"SingleFamily",1993,"0.30 Acres",3,2,"154","$466,575","https://www.zillow.com/homedetails/879-E-San-Simeon-Way-Bountiful-UT-84010/304691006_zpid/"
"SingleFamily",1977,"0.42 Acres",6,4,"4,639","$692,452","https://www.zillow.com/homedetails/2471-Green-Oaks-Dr-Bountiful-UT-84010/12672745_zpid/"
"SingleFamily",1923,"0.25 Acres",4,2,"1,436","$355,767","https://www.zillow.com/homedetails/396-N-300-E-Bountiful-UT-84010/12664775_zpid/"
"SingleFamily",1955,"7,405 sqft",3,2,"1,700","$372,784","https://www.zillow.com/homedetails/1035-N-400-W-Bountiful-UT-84010/12664124_zpid/"
"SingleFamily",1950,"0.25 Acres",4,2,"2,112","$391,598","https://www.zillow.com/homedetails/733-W-3500-S-Bountiful-UT-84010/12658639_zpid/"
"SingleFamily",2000,"0.17 Acres",4,4,"3,011",NA,"https://www.zillow.com/homedetails/1518-Orchard-Dr-E-Bountiful-UT-84010/2072769486_zpid/"
"SingleFamily",1956,"0.31 Acres",4,2,"3,224","$554,148","https://www.zillow.com/homedetails/1009-E-Center-St-Bountiful-UT-84010/12668745_zpid/"
"Townhouse",1959,"0.01 Acres",2,2,"1,584","$241,746","https://www.zillow.com/homedetails/399-E-400-N-2A-Bountiful-UT-84010/2073102169_zpid/"
NA,NA,NA,4,3,"144","$418,766","https://www.zillow.com/homedetails/746-W-3400-S-Bountiful-UT-84010/12658592_zpid/"
"MultiFamily",1927,NA,3,2,"2,000","$433,864","https://www.zillow.com/homedetails/195-E-100-N-Bountiful-UT-84010/12664756_zpid/"
"SingleFamily",1987,"0.24 Acres",5,4,"3,266","$624,913","https://www.zillow.com/homedetails/1381-E-Skyline-Dr-Bountiful-UT-84010/12669078_zpid/"
"Condo",1965,NA,2,2,"2,634","$258,934","https://www.zillow.com/homedetails/395-W-400-N-APT-37-Bountiful-UT-84010/12666022_zpid/"
NA,NA,NA,2,2,"1,181","$258,934","https://www.zillow.com/homedetails/451-W-200-N-APT-1-Bountiful-UT-84010/68445016_zpid/"
"Townhouse",2001,"0.03 Acres",2,3,"1,200",NA,"https://www.zillow.com/homedetails/1668-N-Aliwood-Way-W-Bountiful-UT-84010/2072296979_zpid/"
"SingleFamily",1950,"0.25 Acres",4,2,"2,283","$382,376","https://www.zillow.com/homedetails/738-W-3600-S-Bountiful-UT-84010/12658660_zpid/"
"Townhouse",2001,"1,306 sqft",2,3,"1,200","$305,845","https://www.zillow.com/homedetails/1668-N-Aliwood-Way-Bountiful-UT-84010/124780838_zpid/"
"Condo",1974,NA,1,1,"742","$169,602","https://www.zillow.com/homedetails/290-N-500-W-APT-203-Bountiful-UT-84010/12667605_zpid/"
"Condo",1985,NA,2,1,"1,026","$234,527","https://www.zillow.com/homedetails/1709-N-200-W-APT-4-Bountiful-UT-84010/12667305_zpid/"
"SingleFamily",1983,"0.47 Acres",8,5,"7,037","$910,956","https://www.zillow.com/homedetails/2072-Ridgehill-Dr-Bountiful-UT-84010/12673484_zpid/"
"SingleFamily",1967,"0.25 Acres",4,2,"3,436","$475,148","https://www.zillow.com/homedetails/3471-S-550-W-Bountiful-UT-84010/12658547_zpid/"
"Condo",1974,NA,2,2,"1,146","$259,256","https://www.zillow.com/homedetails/571-N-200-W-Bountiful-UT-84010/12665593_zpid/"
"SingleFamily",1953,"0.22 Acres",2,1,"1,444","$348,008","https://www.zillow.com/homedetails/336-W-325-S-Bountiful-UT-84010/12666231_zpid/"
"SingleFamily",1957,"0.25 Acres",4,2,"1,711","$369,441","https://www.zillow.com/homedetails/935-E-900-N-Bountiful-UT-84010/12668277_zpid/"
"SingleFamily",1978,"10,454 sqft",6,4,"4,000","$571,792","https://www.zillow.com/homedetails/3496-Lexington-Dr-Bountiful-UT-84010/12657885_zpid/"
"SingleFamily",1968,"8,276 sqft",4,3,"1,920","$447,481","https://www.zillow.com/homedetails/972-Fair-Oaks-Dr-Bountiful-UT-84010/12672673_zpid/"
"SingleFamily",1955,"0.20 Acres",3,1,"1,224",NA,"https://www.zillow.com/homedetails/301-W-1300-N-N-Bountiful-UT-84010/2072485527_zpid/"
"SingleFamily",1955,"8,712 sqft",3,1,"1,224","$337,271","https://www.zillow.com/homedetails/301-W-1300-N-Bountiful-UT-84010/12664164_zpid/"
"SingleFamily",1967,"0.29 Acres",4,2,"2,476","$456,022","https://www.zillow.com/homedetails/735-S-100-E-Bountiful-UT-84010/12665232_zpid/"
"SingleFamily",1962,"0.17 Acres",3,1,"2,132","$372,683","https://www.zillow.com/homedetails/248-E-470-N-Bountiful-UT-84010/12665923_zpid/"
"SingleFamily",1998,"0.32 Acres",4,3,"4,054","$660,018","https://www.zillow.com/homedetails/411-S-1000-E-Bountiful-UT-84010/68430341_zpid/"
"SingleFamily",1960,"0.19 Acres",4,3,"3,044","$456,672","https://www.zillow.com/homedetails/618-E-1600-S-Bountiful-UT-84010/12670156_zpid/"
"SingleFamily",1960,"0.26 Acres",4,3,"2,193","$455,833","https://www.zillow.com/homedetails/791-N-650-E-Bountiful-UT-84010/2082802295_zpid/"
"SingleFamily",1954,"7,840 sqft",3,1,"1,102","$327,603","https://www.zillow.com/homedetails/353-S-285-W-Bountiful-UT-84010/12666238_zpid/"
NA,NA,NA,6,3,"2,739","$414,045","https://www.zillow.com/homedetails/725-N-300-E-Bountiful-UT-84010/12665806_zpid/"
"SingleFamily",1997,"8,712 sqft",5,NA,"2,300","$502,647","https://www.zillow.com/homedetails/1448-N-100-W-Bountiful-UT-84010/68430094_zpid/"
"SingleFamily",1958,"8,712 sqft",4,2,"2,072","$392,216","https://www.zillow.com/homedetails/99-S-350-W-Bountiful-UT-84010/12666183_zpid/"
"SingleFamily",1961,"0.28 Acres",5,2,"2,306","$429,023","https://www.zillow.com/homedetails/217-W-800-S-Bountiful-UT-84010/12666317_zpid/"
"SingleFamily",1948,"0.26 Acres",3,2,"2,642","$422,141","https://www.zillow.com/homedetails/246-E-200-N-Bountiful-UT-84010/12664818_zpid/"
"SingleFamily",1960,"8,712 sqft",3,2,"2,128","$390,134","https://www.zillow.com/homedetails/363-N-300-W-Bountiful-UT-84010/249102621_zpid/"
"SingleFamily",1997,"0.28 Acres",5,4,"4,960","$786,461","https://www.zillow.com/homedetails/426-S-Davis-Blvd-Bountiful-UT-84010/68430336_zpid/"
"SingleFamily",1983,"10,018 sqft",5,3,"4,033","$476,939","https://www.zillow.com/homedetails/1433-E-Lakeview-Dr-Bountiful-UT-84010/68430262_zpid/"
"SingleFamily",1955,"7,840 sqft",3,3,"2,100","$309,630","https://www.zillow.com/homedetails/1550-N-400-W-Bountiful-UT-84010/12663977_zpid/"
"SingleFamily",1956,"0.24 Acres",5,2,"2,311","$332,739","https://www.zillow.com/homedetails/2264-S-250-E-Bountiful-UT-84010/12671429_zpid/"
"SingleFamily",1958,"7,840 sqft",4,2,"2,256","$446,271","https://www.zillow.com/homedetails/217-E-1300-N-Bountiful-UT-84010/12664338_zpid/"
NA,NA,NA,6,4,"5,151","$898,741","https://www.zillow.com/homedetails/1646-Templeview-Dr-Bountiful-UT-84010/12670584_zpid/"
"SingleFamily",1959,"0.21 Acres",4,2,"2,300","$420,667","https://www.zillow.com/homedetails/747-N-1000-E-Bountiful-UT-84010/12668264_zpid/"
"SingleFamily",1957,"7,840 sqft",3,1,"1,496","$347,054","https://www.zillow.com/homedetails/1373-N-400-W-Bountiful-UT-84010/12664103_zpid/"
"Condo",1985,NA,2,2,"876","$234,996","https://www.zillow.com/homedetails/2095-S-Main-St-APT-11-Bountiful-UT-84010/83231671_zpid/"
"SingleFamily",1958,"0.27 Acres",5,3,"2,578","$473,181","https://www.zillow.com/homedetails/2447-S-450-E-Bountiful-UT-84010/12672908_zpid/"
"Townhouse",2008,"0.02 Acres",3,4,"2,244","$378,262","https://www.zillow.com/homedetails/2088-S-Orchard-Dr-Bountiful-UT-84010/89197668_zpid/"
"SingleFamily",1954,"8,712 sqft",3,1,"1,503","$365,860","https://www.zillow.com/homedetails/2093-Penman-Ln-Bountiful-UT-84010/12671123_zpid/"
"SingleFamily",2000,"0.26 Acres",6,5,"5,680","$697,185","https://www.zillow.com/homedetails/2744-S-Irene-Dr-E-Bountiful-UT-84010/2073350252_zpid/"
"Condo",1978,NA,3,3,"157","$418,758","https://www.zillow.com/homedetails/1330-Ridgewood-Ln-Bountiful-UT-84010/12673559_zpid/"
"SingleFamily",1905,"9,583 sqft",2,1,"1,147","$337,725","https://www.zillow.com/homedetails/355-S-200-E-Bountiful-UT-84010/12665148_zpid/"
"SingleFamily",1952,"0.33 Acres",3,2,"1,914","$342,761","https://www.zillow.com/homedetails/109-E-3000-S-Bountiful-UT-84010/79769095_zpid/"
"SingleFamily",1964,"9,147 sqft",5,3,"2,200","$428,549","https://www.zillow.com/homedetails/478-W-2400-S-Bountiful-UT-84010/12671507_zpid/"
"SingleFamily",1953,"7,405 sqft",4,2,"1,641","$338,568","https://www.zillow.com/homedetails/1054-N-250-W-Bountiful-UT-84010/12664155_zpid/"
"SingleFamily",1990,"0.35 Acres",6,4,"4,162","$586,570","https://www.zillow.com/homedetails/1496-Lakeview-Dr-Bountiful-UT-84010/12669437_zpid/"
"SingleFamily",1996,"0.65 Acres",5,3,"4,874","$652,435","https://www.zillow.com/homedetails/1403-Northridge-Dr-Bountiful-UT-84010/68430311_zpid/"
"SingleFamily",1986,"0.34 Acres",3,3,"3,642",NA,"https://www.zillow.com/homedetails/1210-E-Northern-Hills-Dr-Bountiful-UT-84010/2072640552_zpid/"
"Townhouse",1959,"0.01 Acres",2,3,"1,536",NA,"https://www.zillow.com/homedetails/463-N-400-E-11-D-Bountiful-UT-84010/2072297058_zpid/"
"SingleFamily",1986,"0.34 Acres",3,3,"3,642","$473,184","https://www.zillow.com/homedetails/1210-Northern-Hills-Dr-Bountiful-UT-84010/12668301_zpid/"
"SingleFamily",1940,"0.27 Acres",3,1,"1,848","$379,759","https://www.zillow.com/homedetails/1925-S-Main-St-Bountiful-UT-84010/68430354_zpid/"
"SingleFamily",1973,"0.19 Acres",4,3,"2,274","$456,458","https://www.zillow.com/homedetails/2199-S-900-E-Bountiful-UT-84010/12672676_zpid/"
NA,NA,NA,3,3,"2,632","$443,344","https://www.zillow.com/homedetails/942-E-350-N-Bountiful-UT-84010/12668446_zpid/"
"SingleFamily",1955,"8,712 sqft",6,3,"3,000","$477,261","https://www.zillow.com/homedetails/2243-Orchard-Dr-Bountiful-UT-84010/12671502_zpid/"
"SingleFamily",2005,"1,742 sqft",3,3,"2,546","$430,380","https://www.zillow.com/homedetails/76-Tierra-Vista-Ct-Bountiful-UT-84010/116210207_zpid/"
"SingleFamily",1977,"0.25 Acres",4,2,"2,600","$449,093","https://www.zillow.com/homedetails/3609-Lexington-Dr-Bountiful-UT-84010/12657899_zpid/"
NA,NA,NA,3,3,"2,546","$281,232","https://www.zillow.com/homedetails/76-N-Tierra-Vista-Ct-Bountiful-UT-84010/2073102790_zpid/"
"Condo",1991,NA,4,3,"2,084","$397,322","https://www.zillow.com/homedetails/237-W-800-N-Bountiful-UT-84010/12667460_zpid/"
"SingleFamily",1950,"7,840 sqft",3,1,"1,693","$374,902","https://www.zillow.com/homedetails/135-S-300-W-Bountiful-UT-84010/12664615_zpid/"
"SingleFamily",1965,"10,454 sqft",6,3,"3,228","$524,708","https://www.zillow.com/homedetails/23-W-1500-S-Bountiful-UT-84010/12666800_zpid/"
"Townhouse",2014,"436 sqft",3,3,"1,816","$334,259","https://www.zillow.com/homedetails/165-E-Orchard-Pine-Loop-Bountiful-UT-84010/124779578_zpid/"
"Townhouse",1985,"0.01 Acres",3,2,"1,838","$337,383","https://www.zillow.com/homedetails/499-N-200-W-UNIT-12-Bountiful-UT-84010/12667266_zpid/"
"Townhouse",2004,"0.01 Acres",4,4,"1,827","$368,699","https://www.zillow.com/homedetails/678-S-Orchard-Dr-Bountiful-UT-84010/68448632_zpid/"
"SingleFamily",1959,"0.19 Acres",5,2,"2,128","$144,171","https://www.zillow.com/homedetails/112-S-300-W-Bountiful-UT-84010/12664594_zpid/"
NA,NA,NA,3,2,"2,528","$589,103","https://www.zillow.com/homedetails/561-W-3000-S-Bountiful-UT-84010/68447129_zpid/"
"SingleFamily",1968,"8,276 sqft",3,2,"2,480","$487,943","https://www.zillow.com/homedetails/667-E-250-N-Bountiful-UT-84010/12668493_zpid/"
"SingleFamily",1977,"0.25 Acres",6,4,"3,870","$585,238","https://www.zillow.com/homedetails/3516-Lexington-Dr-Bountiful-UT-84010/12657884_zpid/"
"SingleFamily",1955,"0.33 Acres",3,2,"2,263","$454,542","https://www.zillow.com/homedetails/209-E-2450-S-Bountiful-UT-84010/12671914_zpid/"
"Condo",1973,NA,2,1,"925","$185,439","https://www.zillow.com/homedetails/314-W-Center-St-F-118-Bountiful-UT-84010/12666119_zpid/"
"SingleFamily",1986,"0.40 Acres",3,3,"3,207","$623,977","https://www.zillow.com/homedetails/3727-S-400-E-Bountiful-UT-84010/92693397_zpid/"
"SingleFamily",1994,"0.26 Acres",4,4,"3,396",NA,"https://www.zillow.com/homedetails/1367-E-Skyline-Dr-Bountiful-UT-84010/2072429211_zpid/"
"SingleFamily",1994,"0.26 Acres",4,4,"3,396","$645,278","https://www.zillow.com/homedetails/1367-Skyline-Dr-Bountiful-UT-84010/12669081_zpid/"
NA,NA,NA,4,3,"3,360","$595,631","https://www.zillow.com/homedetails/3161-S-Bountiful-Blvd-Bountiful-UT-84010/2127388591_zpid/"
"Condo",NA,NA,2,2,"1,528","$636,660","https://www.zillow.com/homedetails/510-N-400-E-Bountiful-UT-84010/2083179691_zpid/"
"Condo",1974,NA,2,1,"1,056","$204,988","https://www.zillow.com/homedetails/290-N-500-W-APT-307-Bountiful-UT-84010/12667607_zpid/"
"SingleFamily",1948,"9,147 sqft",5,3,"2,520","$422,095","https://www.zillow.com/homedetails/1616-S-100-E-Bountiful-UT-84010/12666849_zpid/"
"SingleFamily",1952,"0.25 Acres",3,2,"2,478","$401,620","https://www.zillow.com/homedetails/37-E-1200-S-Bountiful-UT-84010/12665348_zpid/"
"SingleFamily",1959,"0.35 Acres",4,3,"3,616",NA,"https://www.zillow.com/homedetails/1070-E-Oakridge-Cir-S-Bountiful-UT-84010/2072637476_zpid/"
"SingleFamily",1960,"7,405 sqft",5,2,"2,200","$407,977","https://www.zillow.com/homedetails/154-E-750-N-Bountiful-UT-84010/12665776_zpid/"
NA,NA,NA,6,4,"4,200","$558,068","https://www.zillow.com/homedetails/208-E-650-N-Bountiful-UT-84010/12665832_zpid/"
"SingleFamily",1977,"9,147 sqft",5,3,"2,744","$476,990","https://www.zillow.com/homedetails/1238-E-200-S-Bountiful-UT-84010/12668979_zpid/"
"SingleFamily",1991,"9,583 sqft",7,4,"4,300","$672,266","https://www.zillow.com/homedetails/380-N-1225-E-Bountiful-UT-84010/12670525_zpid/"
"SingleFamily",1961,"0.22 Acres",5,2,"2,150","$412,112","https://www.zillow.com/homedetails/229-W-800-S-Bountiful-UT-84010/12666316_zpid/"
"SingleFamily",1978,"9,147 sqft",4,3,"2,233","$428,177","https://www.zillow.com/homedetails/1314-Vineyard-Dr-Bountiful-UT-84010/12669100_zpid/"
"SingleFamily",1952,"0.34 Acres",3,2,"1,780","$410,899","https://www.zillow.com/homedetails/2913-S-Davis-Blvd-Bountiful-UT-84010/67706825_zpid/"
"SingleFamily",1955,"0.25 Acres",4,2,"2,132","$365,662","https://www.zillow.com/homedetails/1034-N-400-E-Bountiful-UT-84010/12668011_zpid/"
"SingleFamily",1962,"7,405 sqft",6,2,"2,722","$437,263","https://www.zillow.com/homedetails/296-N-300-W-Bountiful-UT-84010/12666052_zpid/"
"SingleFamily",1952,"7,405 sqft",3,1,"902","$356,938","https://www.zillow.com/homedetails/387-W-Center-St-Bountiful-UT-84010/12664585_zpid/"
"SingleFamily",1972,"0.39 Acres",5,3,"2,352","$451,200","https://www.zillow.com/homedetails/2941-S-100-W-Bountiful-UT-84010/79767031_zpid/"
"Condo",1972,NA,2,2,"1,048","$237,635","https://www.zillow.com/homedetails/341-E-Peach-Ln-Bountiful-UT-84010/12666551_zpid/"
"SingleFamily",1951,"10,018 sqft",3,2,"1,576","$402,345","https://www.zillow.com/homedetails/165-E-1100-S-Bountiful-UT-84010/12666613_zpid/"
"SingleFamily",1950,"0.24 Acres",3,2,"2,367",NA,"https://www.zillow.com/homedetails/509-W-3000-S-Bountiful-UT-84010/12675985_zpid/"
"SingleFamily",1979,"0.37 Acres",6,3,"4,577","$774,031","https://www.zillow.com/homedetails/1360-E-Lakeview-Dr-Bountiful-UT-84010/68430260_zpid/"
"SingleFamily",1979,"0.37 Acres",6,3,"4,577",NA,"https://www.zillow.com/homedetails/1344-E-Lakeview-Dr-S-Bountiful-UT-84010/2072723438_zpid/"
"Condo",1991,NA,4,3,"2,572","$385,205","https://www.zillow.com/homedetails/233-W-800-N-Bountiful-UT-84010/12667461_zpid/"
"SingleFamily",1968,"8,712 sqft",5,2,"2,200","$422,489","https://www.zillow.com/homedetails/371-W-2400-S-Bountiful-UT-84010/12671520_zpid/"
"SingleFamily",1996,"1.90 Acres",5,4,"6,372","$1,548,992","https://www.zillow.com/homedetails/1884-Stone-Hollow-Dr-Bountiful-UT-84010/12670697_zpid/"
"MultiFamily",NA,NA,3,2,"1,350","$431,365","https://www.zillow.com/homedetails/2627-S-300-W-Bountiful-UT-84010/2083539418_zpid/"
"SingleFamily",1954,"0.32 Acres",6,2,"2,194","$428,434","https://www.zillow.com/homedetails/659-W-3100-S-Bountiful-UT-84010/12658439_zpid/"
"SingleFamily",1985,"0.27 Acres",3,4,"2,250","$456,156","https://www.zillow.com/homedetails/3331-S-400-E-Bountiful-UT-84010/12657765_zpid/"
"Condo",1973,NA,2,2,"132","$253,280","https://www.zillow.com/homedetails/280-E-Peach-Ln-Bountiful-UT-84010/12666574_zpid/"
"Townhouse",2004,"435 sqft",3,3,"1,910","$337,706","https://www.zillow.com/homedetails/1831-N-Pages-Place-Dr-Bountiful-UT-84010/63262881_zpid/"
"SingleFamily",1954,"0.59 Acres",5,3,"3,732","$504,242","https://www.zillow.com/homedetails/1672-S-50-W-Bountiful-UT-84010/79775656_zpid/"
"SingleFamily",1976,"0.24 Acres",6,4,"4,622","$691,933","https://www.zillow.com/homedetails/2031-Bluebell-Dr-Bountiful-UT-84010/12673210_zpid/"
"SingleFamily",1997,"10,018 sqft",5,5,"6,091","$838,638","https://www.zillow.com/homedetails/1464-E-Barton-Creek-Ln-Bountiful-UT-84010/68430326_zpid/"
"Condo",1985,NA,2,2,"876","$231,182","https://www.zillow.com/homedetails/2095-S-Main-St-APT-12-Bountiful-UT-84010/83228165_zpid/"
"Apartment",1973,NA,NA,3,"1,305","$470,959","https://www.zillow.com/homedetails/109-W-3500-S-Bountiful-UT-84010/12657600_zpid/"
"SingleFamily",1957,"7,840 sqft",5,3,"2,112","$441,007","https://www.zillow.com/homedetails/254-E-1300-N-Bountiful-UT-84010/12664317_zpid/"
